	title	ref	typeBien	ville	price	surface	pieces	chambres	cuisine	garage	surface_terrain	nbSalleBain	balcon	terrace	jardin	classEnergy	gazEmission
108	Annonce : Vente Maison Mallemort (13370) 45 m² (188 000 €) 992769666775	992769666775	Maison	Mallemort	188000.0	45.0	3.0	0.0	Non	Oui	0	1	Non	Non	Non	D	B
109	Annonce : Vente Maison Saint-Seurin-sur-l'Isle (33660) 99 m² (144 000 €) 992769523655	992769523655	Maison	St	144000.0	99.0	5.0	0.0	Oui	Non	27002	0	Non	Non	Non	C	A
111	Annonce : Vente Maison Moulin-Neuf (24700) 80 m² (232 000 €) 992769583656	992769583656	Maison	Moulin	232000.0	80.0	4.0	0.0	Oui	Non	10622	0	Non	Non	Non	ND	ND
112	Annonce : Vente Maison Saint-Seurin-sur-l'Isle (33660) 60 m² (133 000 €) 992769718021	992769718021	Maison	St	133000.0	60.0	3.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
113	Annonce : Vente Maison Saint-Rémy (71100) 297 m² (199 000 €) 992769431156	992769431156	Maison	St	199000.0	297.0	4.0	0.0	Non	Non	0	0	Non	Non	Non	G	G
114	Annonce : Vente Maison Roppeviller (57230) 180 m² (74 900 €) 992769222893	992769222893	Maison	Roppeviller	74900.0	180.0	7.0	0.0	Non	Oui	6002	1	Non	Non	Non	G	G
115	Annonce : Vente Maison Keskastel (67260) 65 m² (19 000 €) 992769361207	992769361207	Maison	Keskastel	19000.0	65.0	4.0	0.0	Oui	Oui	1202	0	Non	Non	Non	ND	ND
116	Annonce : Vente Maison Bousseviller (57230) 65 m² (120 000 €) 992768710769	992768710769	Maison	Bousseviller	120000.0	65.0	4.0	0.0	Oui	Oui	55002	1	Non	Non	Non	G	B
117	Annonce : Vente Maison Erckartswiller (67290) 85 m² (169 000 €) 992768483641	992768483641	Maison	Erckartswiller	169000.0	85.0	3.0	0.0	Oui	Oui	2562	0	Non	Non	Non	E	B
118	Annonce : Vente Maison Champagne-et-Fontaine (24320) 93 m² (135 400 €) 992769663144	992769663144	Maison	Champagne-et-fontaine	135400.0	93.0	3.0	0.0	Oui	Oui	9032	1	Non	Non	Non	ND	ND
119	Annonce : Vente Maison Walscheid (57870) 176 m² (230 000 €) 992769676990	992769676990	Maison	Walscheid	230000.0	176.0	8.0	0.0	Oui	Oui	13092	1	Non	Non	Non	E	F
120	Annonce : Vente Maison Stiring-Wendel (57350) 105 m² (162 300 €) 992769727124	992769727124	Maison	Stiring-wendel	162300.0	105.0	4.0	0.0	Oui	Non	3002	2	Non	Non	Non	D	E
121	Annonce : Vente Maison Nanterre (92000) 110 m² (780 000 €) 992769679779	992769679779	Maison	Nanterre	780000.0	110.0	6.0	0.0	Oui	Non	3902	0	Non	Non	Non	A	ND
123	Annonce : Vente Maison Mareuil (24340) 240 m² (105 000 €) 992769692776	992769692776	Maison	Mareuil	105000.0	240.0	5.0	0.0	Non	Non	268002	0	Non	Non	Non	G	C
124	Annonce : Vente Maison Oermingen (67970) 295 m² (189 000 €) 992769727125	992769727125	Maison	Oermingen	189000.0	295.0	9.0	0.0	Non	Oui	5002	1	Non	Non	Non	F	E
125	Annonce : Vente Maison Verteillac (24320) 71 m² (140 000 €) 992769727145	992769727145	Maison	Verteillac	140000.0	71.0	3.0	0.0	Oui	Oui	9292	0	Non	Non	Non	B	A
127	Annonce : Vente Maison Évette-Salbert (90350) 168 m² (432 500 €) 992769663133	992769663133	Maison	Évette-salbert	432500.0	168.0	7.0	0.0	Oui	Non	13902	0	Non	Non	Non	D	D
128	Annonce : Vente Maison Beinheim (67930) 110 m² (270 000 €) 992769663143	992769663143	Maison	Beinheim	270000.0	110.0	4.0	0.0	Oui	Oui	6542	2	Non	Non	Non	E	D
129	Annonce : Vente Maison Champagney (70290) 83 m² (165 000 €) 992769663145	992769663145	Maison	Champagney	165000.0	83.0	4.0	0.0	Oui	Non	39072	0	Non	Non	Non	D	D
130	Annonce : Vente Maison Onnion (74490) 105 m² (430 000 €) 992767301384	992767301384	Maison	Onnion	430000.0	105.0	4.0	0.0	Oui	Oui	10702	1	Non	Non	Non	E	C
132	Annonce : Vente Maison Port-Sainte-Marie (47130) 280 m² (156 200 €) 992767944025	992767944025	Maison	Port	156200.0	280.0	9.0	0.0	Non	Non	9102	1	Non	Non	Non	E	E
133	Annonce : Vente Maison Nérac (47600) 360 m² (990 000 €) 992768360476	992768360476	Maison	Nerac	990000.0	360.0	9.0	0.0	Non	Non	8372	1	Non	Non	Non	D	B
134	Annonce : Vente Maison Saint-Laurent (47130) 135 m² (145 700 €) 992769023393	992769023393	Maison	Saint	145700.0	135.0	6.0	0.0	Non	Non	2982	0	Non	Non	Non	ND	ND
135	Annonce : Vente Maison Blois (41000) 95 m² (209 900 €) 992769041171	992769041171	Maison	Blois	209900.0	95.0	3.0	0.0	Oui	Non	5642	0	Non	Non	Non	D	D
136	Annonce : Vente Maison Blois (41000) 170 m² (280 900 €) 992769262853	992769262853	Maison	Blois	280900.0	170.0	5.0	0.0	Oui	Non	26452	1	Non	Non	Non	E	E
137	Annonce : Vente Maison Douvaine (74140) 127 m² (360 000 €) 992769449918	992769449918	Maison	Douvaine	360000.0	127.0	4.0	0.0	Non	Non	6862	0	Non	Non	Non	F	F
138	Annonce : Vente Maison Cabris (06530) 250 m² (950 000 €) 992766792126	992766792126	Maison	Cabris	950000.0	250.0	5.0	0.0	Non	Oui	34002	0	Non	Non	Non	D	C
139	Annonce : Vente Maison Cholet (49300) 140 m² (299 000 €) 992769468846	992769468846	Maison	Cholet	299000.0	140.0	7.0	0.0	Oui	Oui	7892	1	Non	Non	Non	C	A
140	Annonce : Vente Maison Beaupréau (49600) 97 m² (179 000 €) 992769181168	992769181168	Maison	Beaupréau-en-mauges	179000.0	97.0	5.0	0.0	Oui	Non	10252	0	Non	Non	Non	G	C
142	Annonce : Vente Maison Cholet (49300) 95 m² (136 000 €) 992769197127	992769197127	Maison	Cholet	136000.0	95.0	6.0	0.0	Oui	Non	1102	0	Non	Non	Non	ND	ND
143	Annonce : Vente Maison Halluin (59250) 154 m² (249 000 €) 992769197131	992769197131	Maison	Halluin	249000.0	154.0	5.0	0.0	Oui	Non	0	0	Non	Non	Non	C	D
145	Annonce : Vente Maison Reynès (66400) 129 m² (325 000 €) 992769262945	992769262945	Maison	Reynes	325000.0	129.0	5.0	0.0	Oui	Non	3492	1	Non	Non	Non	A	A
148	Annonce : Vente Maison Nanterre (92000) 152 m² (860 000 €) 992769679782	992769679782	Maison	Nanterre	860000.0	152.0	7.0	0.0	Oui	Non	3902	0	Non	Non	Non	A	ND
149	Annonce : Vente Maison Nanterre (92000) 100 m² (690 000 €) 992769564678	992769564678	Maison	Nanterre	690000.0	100.0	6.0	0.0	Oui	Non	4202	0	Non	Non	Non	A	ND
150	Annonce : Vente Maison Cormeray (41120) 124 m² (199 900 €) 992767915906	992767915906	Maison	Cormeray	199900.0	124.0	3.0	0.0	Oui	Non	14352	0	Non	Non	Non	E	B
151	Annonce : Vente Maison Saint-Martin-des-Besaces (14350) 118 m² (160 000 €) 992769197130	992769197130	Maison	Souleuvre	160000.0	118.0	6.0	0.0	Oui	Oui	5792	0	Non	Non	Non	C	C
152	Annonce : Vente Maison Saint-Martin-des-Besaces (14350) 82 m² (143 000 €) 992769197132	992769197132	Maison	Souleuvre	143000.0	82.0	5.0	0.0	Oui	Oui	5922	0	Non	Non	Non	E	B
153	Annonce : Vente Maison Aubevoye (27940) 89 m² (219 000 €) 992769197134	992769197134	Maison	Le	219000.0	89.0	5.0	0.0	Oui	Oui	0	1	Non	Non	Non	D	D
154	Annonce : Vente Maison Saint-Émilion (33330) 196 m² (496 000 €) 992769157081	992769157081	Maison	Saint-Émilion	496000.0	196.0	6.0	0.0	Oui	Non	0	0	Non	Non	Non	ND	ND
156	Annonce : Vente Maison Aspres-sur-Buëch (05140) 64 m² (54 000 €) 9926426302	9926426302	Maison	Aspres-sur-buëch	54000.0	64.0	3.0	0.0	Oui	Non	0	0	Non	Non	Non	ND	ND
159	Annonce : Vente Maison Frouard (54390) 160 m² (200 000 €) 9926423536	9926423536	Maison	Frouard	200000.0	160.0	5.0	0.0	Oui	Non	0	0	Non	Non	Non	E	F
160	Annonce : Vente Maison Pompey (54340) 100 m² (167 000 €) 9926420651	9926420651	Maison	Pompey	167000.0	100.0	6.0	0.0	Oui	Non	0	0	Non	Non	Non	D	E
161	Annonce : Vente Maison Frouard (54390) 110 m² (148 000 €) 9926422466	9926422466	Maison	Frouard	148000.0	110.0	5.0	0.0	Non	Non	0	0	Non	Non	Non	E	F
162	Annonce : Vente Maison Douai (59500) 122 m² (442 000 €) 992769248645	992769248645	Maison	Douai	442000.0	122.0	6.0	0.0	Oui	Oui	17832	0	Non	Non	Non	D	D
163	Annonce : Vente Maison Aubencheul-au-Bac (59265) 122 m² (442 000 €) 992769248647	992769248647	Maison	Aubencheul-au-bac	442000.0	122.0	6.0	0.0	Oui	Oui	17832	0	Non	Non	Non	D	D
164	Annonce : Vente Maison Bugnicourt (59151) 120 m² (187 900 €) 992769289171	992769289171	Maison	Bugnicourt	187900.0	120.0	5.0	0.0	Oui	Oui	8112	0	Non	Non	Non	E	D
165	Annonce : Vente Maison Arleux (59151) 215 m² (374 400 €) 992769401758	992769401758	Maison	Arleux	374400.0	215.0	6.0	0.0	Oui	Oui	14532	0	Non	Non	Non	D	C
166	Annonce : Vente Maison Uzès (30700) 202 m² (988 000 €) 992769576111	992769576111	Maison	Uzès	988000.0	202.0	7.0	0.0	Non	Oui	80002	3	Non	Non	Non	C	A
167	Annonce : Vente Maison Arleux (59151) 236 m² (249 900 €) 992768117211	992768117211	Maison	Arleux	249900.0	236.0	8.0	0.0	Oui	Oui	6362	0	Non	Non	Non	D	C
168	Annonce : Vente Maison Féchain (59247) 49 m² (19 900 €) 992768791582	992768791582	Maison	Fechain	19900.0	49.0	3.0	0.0	Oui	Oui	0	0	Non	Non	Non	ND	ND
169	Annonce : Vente Maison Uzès (30700) 250 m² (583 000 €) 992769601823	992769601823	Maison	Uzès	583000.0	250.0	10.0	0.0	Oui	Non	140802	0	Non	Non	Non	ND	ND
170	Annonce : Vente Maison Bugnicourt (59151) 82 m² (80 900 €) 992768677828	992768677828	Maison	Bugnicourt	80900.0	82.0	3.0	0.0	Oui	Non	2102	0	Non	Non	Non	G	C
171	Annonce : Vente Maison Alès (30100) 100 m² (241 500 €) 992769250740	992769250740	Maison	Alès	241500.0	100.0	3.0	0.0	Oui	Non	16802	0	Non	Non	Non	C	C
172	Annonce : Vente Maison Bugnicourt (59151) 89 m² (130 000 €) 992769306260	992769306260	Maison	Bugnicourt	130000.0	89.0	6.0	0.0	Oui	Non	10242	0	Non	Non	Non	F	C
173	Annonce : Vente Maison Saint-Nazaire (44600) 93 m² (547 800 €) 992768808754	992768808754	Maison	St	547800.0	93.0	5.0	0.0	Non	Oui	0	1	Non	Non	Non	ND	ND
174	Annonce : Vente Maison Celles-sur-Belle (79370) 130 m² (156 000 €) 992766553940	992766553940	Maison	Celles	156000.0	130.0	7.0	0.0	Oui	Non	4792	1	Non	Non	Non	D	E
177	Annonce : Vente Maison Niort (79000) 79 m² (120 640 €) 992769396703	992769396703	Maison	Niort	120640.0	79.0	4.0	0.0	Oui	Non	732	0	Non	Non	Non	E	E
178	Annonce : Vente Maison Saint-Nazaire (44600) 79 m² (439 900 €) 992768808753	992768808753	Maison	St	439900.0	79.0	4.0	0.0	Non	Oui	0	1	Non	Non	Non	ND	ND
