	title	ref	typeBien	ville	price	surface	pieces	chambres	cuisine	garage	surface_terrain	nbSalleBain	balcon	terrace	jardin	classEnergy	gazEmission
2079	▷ Appartement en vente • Stiring-Wendel • 66 m² • 59 262 €	7864798	Appartement	Stiring-Wendel	59262.0	66.0	3.0	2.0	Non	Non	66	0	Non	Non	Non	ND	ND
2080	▷ Appartement en vente • Stiring-Wendel • 83 m² • 79 000 €	7864797	Appartement	Stiring-Wendel	79000.0	83.0	4.0	3.0	Non	Non	83	0	Non	Non	Non	ND	ND
2081	▷ Appartement en vente • Stiring-Wendel • 78 m² • 79 000 €	7864796	Appartement	Stiring-Wendel	79000.0	78.0	4.0	3.0	Non	Non	78	0	Non	Non	Non	ND	ND
2082	▷ Appartement en vente • Stiring-Wendel • 65 m² • 65 000 €	7864795	Appartement	Stiring-Wendel	65000.0	65.0	3.0	2.0	Non	Non	65	0	Non	Non	Non	ND	ND
2083	▷ Appartement en vente • Metz • 103,84 m² • 238 500 €	7864783	Appartement	Metz	238500.0	104.0	4.0	2.0	Oui	Non	10384	0	Non	Non	Non	ND	A
2084	▷ Appartement en vente • Moyeuvre-Grande • 78 m² • 65 999 €	7864766	Appartement	Moyeuvre-Grande	65999.0	78.0	3.0	2.0	Non	Non	78	0	Non	Non	Non	ND	D
2085	▷ Maison en vente • Rombas • 82 m² • 279 000 €	7864764	Maison	Rombas	279000.0	82.0	6.0	4.0	Non	Oui	82	1	Non	Non	Non	ND	D
2086	▷ Appartement en vente • Maxéville • 51,36 m² • 203 900 €	7864738	Appartement	Maxéville	203900.0	51.0	2.0	1.0	Non	Non	5136	0	Non	Non	Non	ND	ND
2087	▷ Appartement en vente • Maxéville • 66,89 m² • 247 900 €	7864737	Appartement	Maxéville	247900.0	67.0	3.0	2.0	Non	Non	6689	0	Non	Non	Non	ND	ND
2088	▷ Appartement en vente • Maxéville • 66,33 m² • 237 900 €	7864736	Appartement	Maxéville	237900.0	66.0	3.0	2.0	Non	Non	6633	0	Non	Non	Non	ND	ND
2089	▷ Appartement en vente • Maxéville • 57,77 m² • 207 900 €	7864735	Appartement	Maxéville	207900.0	58.0	3.0	2.0	Non	Non	5777	0	Non	Non	Non	ND	ND
2090	▷ Appartement en vente • Maxéville • 57,91 m² • 203 900 €	7864734	Appartement	Maxéville	203900.0	58.0	3.0	2.0	Non	Non	5791	0	Non	Non	Non	ND	ND
2091	▷ Appartement en vente • Maxéville • 62,32 m² • 219 900 €	7864733	Appartement	Maxéville	219900.0	62.0	3.0	2.0	Non	Non	6232	0	Non	Non	Non	ND	ND
2092	▷ Appartement en vente • Maxéville • 47,21 m² • 188 900 €	7864731	Appartement	Maxéville	188900.0	47.0	2.0	1.0	Non	Non	4721	0	Non	Non	Non	ND	ND
2093	▷ Appartement en vente • Maxéville • 44,5 m² • 174 900 €	7864730	Appartement	Maxéville	174900.0	45.0	2.0	1.0	Non	Non	445	0	Non	Non	Non	ND	ND
2094	▷ Appartement en vente • Maxéville • 58,72 m² • 221 900 €	7864729	Appartement	Maxéville	221900.0	59.0	3.0	2.0	Non	Non	5872	0	Non	Non	Non	ND	ND
2095	▷ Appartement en vente • Maxéville • 51,36 m² • 209 900 €	7864727	Appartement	Maxéville	209900.0	51.0	2.0	1.0	Non	Non	5136	0	Non	Non	Non	ND	ND
2096	▷ Appartement en vente • Maxéville • 66,89 m² • 252 900 €	7864726	Appartement	Maxéville	252900.0	67.0	3.0	2.0	Non	Non	6689	0	Non	Non	Non	ND	ND
2097	▷ Appartement en vente • Maxéville • 66,34 m² • 232 900 €	7864725	Appartement	Maxéville	232900.0	66.0	3.0	2.0	Non	Non	6634	0	Non	Non	Non	ND	ND
2098	▷ Appartement en vente • Maxéville • 57,77 m² • 202 900 €	7864724	Appartement	Maxéville	202900.0	58.0	3.0	2.0	Non	Non	5777	0	Non	Non	Non	ND	ND
2099	▷ Maison en vente • Entrange • 147,9 m² • 554 900 €	7864721	Maison	Entrange	554900.0	148.0	5.0	4.0	Non	Non	1479	0	Non	Non	Non	ND	ND
2100	▷ Maison en vente • Entrange • 147,98 m² • 557 900 €	7864720	Maison	Entrange	557900.0	148.0	5.0	4.0	Non	Non	14798	0	Non	Non	Non	ND	ND
2101	▷ Maison en vente • Entrange • 142,52 m² • 556 900 €	7864719	Maison	Entrange	556900.0	143.0	5.0	4.0	Non	Non	14252	0	Non	Non	Non	ND	ND
2102	▷ Duplex en vente • Mont-Saint-Martin • 64,33 m² • 159 000 €	7864716	Duplex	Mont-Saint-Martin	159000.0	64.0	3.0	1.0	Oui	Non	6433	0	Non	Oui	Non	ND	C
2103	▷ Entrepôt en vente • Atton • 600 m² • 590 000 €	7864680	Entrepôt	Atton	0.0	0.0	0.0	0.0	Non	Non	600	0	Non	Non	Non	G	F
2104	▷ Maison en vente • Norroy-le-Veneur • 120 m² • 270 000 €	7864666	Maison	Norroy-le-Veneur	270000.0	120.0	4.0	3.0	Oui	Oui	120	1	Non	Non	Non	ND	F
2105	▷ Garage-parking en vente • Longwy • 120 000 €	7864648	Garage-parking	Longwy	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2106	▷ Maison en vente • Tomblaine • 90 m² • 259 000 €	7864380	Maison	Tomblaine	259000.0	90.0	5.0	3.0	Non	Oui	90	0	Non	Non	Non	ND	ND
2107	▷ Maison en vente • Dieulouard • 98 m² • 239 000 €	7864376	Maison	Dieulouard	239000.0	98.0	6.0	4.0	Non	Oui	98	0	Non	Non	Non	ND	ND
2108	▷ Maison individuelle en vente • Hayange • 195 m² • 452 400 €	7859704	Maison	Hayange	452400.0	195.0	8.0	6.0	Oui	Oui	195	0	Non	Non	Non	ND	C
2109	▷ Maison en vente • Raon-l'Étape • 180 m² • 55 000 €	7864239	Maison	Raon-l'Étape	55000.0	180.0	10.0	6.0	Oui	Non	180	0	Non	Non	Non	ND	E
2110	▷ Terrain constructible en vente • Le Thillot • 20 are • 50 000 €	7864217	Terrain	Le Thillot	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2111	▷ Appartement en vente • Thionville • 138 m² • 225 000 €	7864192	Appartement	Thionville	225000.0	138.0	4.0	2.0	Oui	Non	138	1	Non	Non	Non	ND	E
2112	▷ Terrain constructible en vente • Geville • 17,9 are • 27 500 €	7864121	Terrain	Geville	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2113	▷ Maison en vente • Hayange • 70,26 m² • 124 900 €	7864032	Maison	Hayange	124900.0	70.0	3.0	2.0	Non	Oui	7026	1	Non	Non	Non	ND	D
2114	▷ Maison en vente • Nilvange • 87,5 m² • 187 500 €	7864022	Maison	Nilvange	187500.0	88.0	4.0	3.0	Non	Non	875	0	Non	Non	Non	ND	D
2115	▷ Maison en vente • Ennevelin • 86 m² • 330 000 €	7864002	Maison	Ennevelin	330000.0	86.0	5.0	3.0	Oui	Non	86	1	Non	Non	Non	ND	B
2116	▷ Maison en vente • Templeuve-en-Pévèle • 145 m² • 460 000 €	7863997	Maison	Templeuve-en-Pévèle	460000.0	145.0	7.0	4.0	Oui	Non	145	0	Non	Non	Non	ND	D
2117	▷ Local commercial en vente • Hauconcourt • 9 614 m² • 2 999 000 €	7863974	Local	Hauconcourt	0.0	0.0	0.0	0.0	Non	Non	9614	0	Non	Non	Non	ND	Vierge
2118	▷ Appartement en vente • Longeville-lès-Metz • 88 m² • 219 900 €	7863918	Appartement	Longeville-lès-Metz	219900.0	88.0	4.0	2.0	Non	Non	88	0	Non	Non	Non	ND	Vierge
2119	▷ Terrain constructible en vente • Tomblaine • 3,4 are • 89 000 €	7863078	Terrain	Tomblaine	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2120	▷ Immeuble de rapport en vente • Nilvange • 146 m² • 221 650 €	7861714	Immeuble	Nilvange	0.0	0.0	0.0	0.0	Non	Non	146	0	Non	Non	Non	ND	C
2121	▷ Maison en vente • Villerupt • 56,68 m² • 79 000 €	7861705	Maison	Villerupt	79000.0	57.0	3.0	1.0	Non	Non	5668	0	Non	Non	Non	ND	ND
2122	▷ Appartement en vente • Douai • 84,83 m² • 110 390 €	7861702	Appartement	Douai	110390.0	85.0	5.0	3.0	Non	Non	8483	0	Non	Non	Non	ND	ND
2123	▷ Maison en vente • Boussy-Saint-Antoine • 77 m² • 416 000 €	7861692	Maison	Boussy-Saint-Antoine	416000.0	77.0	5.0	3.0	Non	Non	77	0	Non	Non	Non	G	G
2124	▷ Appartement en vente • Panazol • 68 m² • 102 000 €	7861691	Appartement	Panazol	102000.0	68.0	3.0	2.0	Non	Non	68	0	Non	Non	Non	ND	F
2125	▷ Maison en vente • Inzinzac-Lochrist • 98 m² • 269 000 €	7861690	Maison	Inzinzac-Lochrist	269000.0	98.0	4.0	3.0	Non	Non	98	0	Non	Non	Non	ND	B
2126	▷ Maison en vente • La Jarrie • 142 m² • 434 500 €	7861689	Maison	La Jarrie	434500.0	142.0	5.0	3.0	Non	Non	142	0	Non	Non	Non	ND	D
2127	▷ Maison en vente • Cagnes-sur-Mer • 126 m² • 580 000 €	7861688	Maison	Cagnes-sur-Mer	580000.0	126.0	5.0	4.0	Non	Non	126	0	Non	Non	Non	F	C
2128	▷ Maison en vente • Mont-Saint-Martin • 180 m² • 260 500 €	7861687	Maison	Mont-Saint-Martin	260500.0	180.0	8.0	5.0	Non	Non	180	0	Non	Non	Non	ND	F
2129	▷ Appartement en vente • Forbach • 63 m² • 59 000 €	7861686	Appartement	Forbach	59000.0	63.0	3.0	2.0	Oui	Oui	63	0	Non	Non	Non	ND	D
2130	▷ Maison en vente • Le Tholy • 177 m² • 293 000 €	7861685	Maison	Le Tholy	293000.0	177.0	6.0	4.0	Oui	Oui	177	0	Non	Non	Non	ND	D
2131	▷ Appartement en vente • Spicheren • 67 m² • 105 000 €	7861684	Appartement	Spicheren	105000.0	67.0	3.0	2.0	Oui	Non	67	0	Non	Non	Non	ND	D
2132	▷ Maison en vente • Yutz • 130 m² • 375 000 €	7861683	Maison	Yutz	375000.0	130.0	6.0	4.0	Oui	Non	130	0	Non	Non	Non	ND	C
2133	▷ Maison en vente • Neunkirchen-lès-Bouzonville • 249 m² • 490 000 €	7861682	Maison	Neunkirchen-lès-Bouzonville	490000.0	249.0	4.0	3.0	Non	Non	249	0	Non	Non	Non	ND	E
2134	▷ Maison en vente • Creutzwald • 75 m² • 171 000 €	7861681	Maison	Creutzwald	171000.0	75.0	4.0	3.0	Oui	Non	75	0	Non	Non	Non	ND	B
2135	▷ Maison en vente • Hayange • 200 m² • 449 000 €	7861679	Maison	Hayange	449000.0	200.0	7.0	4.0	Oui	Oui	200	0	Non	Non	Non	ND	C
2136	▷ Maison en vente • Forbach • 143 m² • 210 000 €	7861678	Maison	Forbach	210000.0	143.0	4.0	3.0	Non	Non	143	0	Non	Non	Non	ND	D
2137	▷ Appartement en vente • Thionville • 121 m² • 209 000 €	7861677	Appartement	Thionville	209000.0	121.0	4.0	3.0	Oui	Non	121	0	Non	Non	Non	ND	F
2138	▷ Maison en vente • Houdelaincourt • 125 m² • 199 000 €	7861676	Maison	Houdelaincourt	199000.0	125.0	5.0	4.0	Non	Oui	125	0	Non	Non	Non	ND	A
2139	▷ Maison en vente • Darney • 170 m² • 33 500 €	7861674	Maison	Darney	0.0	0.0	0.0	0.0	Non	Non	170	0	Non	Non	Non	ND	NS
2140	▷ Maison en vente • Bertrichamps • 142 m² • 335 000 €	7861673	Maison	Bertrichamps	335000.0	142.0	5.0	4.0	Oui	Oui	142	0	Non	Non	Non	ND	A
2141	▷ Terrain constructible en vente • Saint-Maurice-sous-les-Côtes • 0 are • 36 000 €	7861672	Terrain	Saint-Maurice-sous-les-Côtes	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2142	▷ Maison en vente • Beuvillers • 165 m² • 549 500 €	7861671	Maison	Beuvillers	549500.0	165.0	5.0	4.0	Non	Non	165	0	Non	Non	Non	ND	D
2143	▷ Appartement en vente • Marange-Silvange • 95 m² • 229 999 €	7861666	Appartement	Marange-Silvange	229999.0	95.0	3.0	2.0	Oui	Oui	95	0	Non	Non	Non	ND	D
2144	▷ Maison en vente • Brouderdorff • 100 m² • 90 000 €	7861665	Maison	Brouderdorff	90000.0	100.0	4.0	3.0	Non	Oui	100	0	Non	Non	Non	ND	G
2145	▷ Terrain constructible en vente • Friauville • 0 are • 85 000 €	7861664	Terrain	Friauville	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2146	▷ Appartement en vente • Metz • 58 m² • 187 200 €	7861651	Appartement	Metz	187200.0	58.0	2.0	1.0	Non	Non	58	0	Non	Non	Non	ND	D
2147	▷ Appartement en vente • Longlaville • 51 m² • 129 000 €	7861650	Appartement	Longlaville	129000.0	51.0	2.0	1.0	Non	Oui	51	0	Non	Non	Non	ND	A
2148	▷ Maison mitoyenne en vente • Mangiennes • 120 m² • 138 000 €	7861649	Maison	Mangiennes	138000.0	120.0	6.0	3.0	Non	Non	120	0	Non	Non	Non	ND	ND
2149	▷ Maison en vente • Briey • 144 m² • 214 000 €	7861648	Maison	Briey	214000.0	144.0	5.0	3.0	Non	Oui	144	0	Non	Non	Non	ND	B
2150	▷ Appartement en vente • Conflans-en-Jarnisy • 49 m² • 142 000 €	7861638	Appartement	Conflans-en-Jarnisy	142000.0	49.0	2.0	1.0	Oui	Non	49	0	Non	Non	Non	ND	D
2151	▷ Appartement en vente • Thionville • 82 m² • 159 000 €	7861634	Appartement	Thionville	159000.0	82.0	5.0	3.0	Oui	Oui	82	1	Non	Non	Non	ND	E
2152	▷ Appartement en vente • Villerupt • 95,9 m² • 388 720 €	7861631	Appartement	Villerupt	388720.0	96.0	5.0	4.0	Non	Non	959	0	Non	Non	Non	ND	ND
2153	▷ Appartement en vente • Villerupt • 89,6 m² • 362 100 €	7861630	Appartement	Villerupt	362100.0	90.0	4.0	3.0	Non	Non	896	0	Non	Non	Non	ND	ND
2154	▷ Appartement en vente • Villerupt • 83,14 m² • 337 070 €	7861629	Appartement	Villerupt	0.0	0.0	0.0	0.0	Non	Non	8314	0	Non	Non	Non	ND	ND
2155	▷ Appartement en vente • Villerupt • 68,31 m² • 257 990 €	7861627	Appartement	Villerupt	257990.0	68.0	3.0	2.0	Non	Non	6831	0	Non	Non	Non	ND	ND
2156	▷ Maison en vente • Woippy • 180 m² • 339 000 €	7861621	Maison	Woippy	339000.0	180.0	8.0	6.0	Non	Non	180	0	Non	Non	Non	ND	C
2157	▷ Maison en vente • Woippy • 105 m² • 237 000 €	7861617	Maison	Woippy	237000.0	105.0	5.0	3.0	Non	Non	105	0	Non	Non	Non	ND	D
2159	▷ Appartement en vente • Nantes • 33 m² • 162 000 €	7861576	Appartement	Nantes	162000.0	33.0	2.0	1.0	Oui	Non	33	1	Non	Non	Non	ND	ND
2160	▷ Appartement en vente • Nantes • 75 m² • 256 000 €	7861562	Appartement	Nantes	256000.0	75.0	3.0	1.0	Non	Non	75	0	Non	Non	Non	F	ND
2161	▷ Maison en vente • Sainte-Barbe • 125 m² • 369 000 €	7861548	Maison	Sainte-Barbe	369000.0	125.0	6.0	4.0	Non	Oui	125	0	Non	Non	Non	ND	ND
2162	▷ Maison en vente • Russange • 125 m² • 439 000 €	7861547	Maison	Russange	439000.0	125.0	6.0	4.0	Non	Oui	125	0	Non	Non	Non	ND	ND
2163	▷ Terrain constructible en vente • Dieulouard • 3,4 are • 49 500 €	7861546	Terrain	Dieulouard	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2164	▷ Terrain constructible en vente • Sainte-Barbe • 7,85 are • 135 800 €	7861545	Terrain	Sainte-Barbe	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2165	▷ Terrain constructible en vente • Russange • 3,4 are • 129 000 €	7861544	Terrain	Russange	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2166	▷ Maison en vente • Boulay-Moselle • 170 m² • 335 000 €	7861543	Maison	Boulay-Moselle	335000.0	170.0	8.0	5.0	Non	Oui	170	1	Non	Non	Non	ND	C
2167	▷ Terrain constructible en vente • Mégange • 15,18 are • 98 000 €	7861542	Terrain	Mégange	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2168	▷ Maison en vente • Thionville • 115 m² • 439 000 €	7861541	Maison	Thionville	439000.0	115.0	4.0	3.0	Non	Non	115	1	Non	Non	Non	ND	C
2169	▷ Maison en vente • Villerupt • 85 m² • 273 000 €	7861540	Maison	Villerupt	273000.0	85.0	6.0	3.0	Non	Non	85	0	Non	Non	Non	ND	F
2170	▷ Terrain constructible en vente • Thionville • 3,56 are • 147 000 €	7861520	Terrain	Thionville	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2171	▷ Terrain constructible en vente • Thionville • 3,92 are • 157 000 €	7861519	Terrain	Thionville	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2172	▷ Terrain constructible en vente • Rurange-lès-Thionville • 4,96 are • 165 000 €	7861517	Terrain	Rurange-lès-Thionville	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2173	▷ Maison individuelle en vente • Fameck • 122 m² • 356 000 €	7861516	Maison	Fameck	356000.0	122.0	6.0	4.0	Non	Oui	122	1	Non	Non	Non	ND	ND
2174	▷ Maison en vente • La Chevallerais • 111 m² • 217 000 €	7861515	Maison	La Chevallerais	0.0	0.0	0.0	0.0	Non	Oui	111	0	Non	Non	Non	ND	ND
2175	▷ Maison individuelle en vente • Vitry-sur-Orne • 95 m² • 309 500 €	7861476	Maison	Vitry-sur-Orne	309500.0	95.0	5.0	3.0	Non	Oui	95	1	Non	Non	Non	ND	ND
2176	▷ Appartement en vente • Metz • 86,15 m² • 222 000 €	7861448	Appartement	Metz	222000.0	86.0	4.0	2.0	Oui	Non	8615	1	Non	Non	Non	ND	C
2177	▷ Maison en vente • Guénange • 117 m² • 415 900 €	7861444	Maison	Guénange	415900.0	117.0	5.0	3.0	Non	Non	117	0	Non	Non	Non	ND	A
2178	▷ Maison en vente • Auboué • 85 m² • 134 000 €	7861377	Maison	Auboué	134000.0	85.0	5.0	3.0	Non	Oui	85	1	Non	Non	Non	ND	F
2179	▷ Maison en vente • Anould • 280 m² • 260 000 €	7861367	Maison	Anould	260000.0	280.0	7.0	4.0	Oui	Oui	280	2	Non	Non	Non	ND	E
2180	▷ Maison en vente • Méréville • 28 m² • 30 000 €	7861306	Maison	Méréville	30000.0	28.0	3.0	2.0	Non	Non	28	0	Non	Non	Non	ND	NS
2181	▷ Maison en vente • Sarrebourg • 175 m² • 79 000 €	7861302	Maison	Sarrebourg	79000.0	175.0	8.0	6.0	Oui	Oui	175	0	Non	Non	Non	ND	ND
2182	▷ Entrepôt en vente • Thionville • 460 m² • 676 000 €	7861160	Entrepôt	Thionville	0.0	0.0	0.0	0.0	Non	Non	460	0	Non	Non	Non	ND	NS
2183	▷ Maison mitoyenne en vente • Montigny-lès-Metz • 105 m² • 280 000 €	7860955	Maison	Montigny-lès-Metz	280000.0	105.0	4.0	2.0	Oui	Non	105	0	Non	Non	Non	ND	E
2184	▷ Appartement en vente • Metz • 62 m² • 130 080 €	7860927	Appartement	Metz	130080.0	62.0	2.0	1.0	Oui	Non	62	1	Non	Non	Non	ND	B
2185	▷ Appartement en vente • Villerupt • 63 m² • 172 000 €	7860819	Appartement	Villerupt	172000.0	63.0	3.0	1.0	Non	Non	63	0	Non	Non	Non	ND	Vierge
2186	▷ Appartement en vente • Longwy • 115 m² • 324 000 €	7860808	Appartement	Longwy	324000.0	115.0	3.0	2.0	Oui	Oui	115	1	Non	Non	Non	ND	Vierge
2187	▷ Immeuble de rapport en vente • Saint-Dié-des-Vosges • 140 m² • 291 600 €	7860797	Immeuble	Saint-Dié-des-Vosges	291600.0	140.0	9.0	5.0	Oui	Oui	140	0	Non	Non	Non	ND	Vierge
2188	▷ Immeuble de rapport en vente • Cornimont • 590 m² • 680 000 €	7860772	Immeuble	Cornimont	0.0	0.0	0.0	0.0	Non	Non	590	0	Non	Non	Non	ND	Vierge
2189	▷ Maison en vente • Faulquemont • 341 m² • 574 900 €	7860757	Maison	Faulquemont	574900.0	341.0	8.0	4.0	Oui	Non	341	0	Non	Non	Non	ND	B
2190	▷ Maison en vente • Uckange • 67 m² • 99 000 €	7860754	Maison	Uckange	99000.0	67.0	3.0	2.0	Non	Non	67	0	Non	Non	Non	ND	E
2191	▷ Maison en vente • Seclin • 110 m² • 292 000 €	7860753	Maison	Seclin	292000.0	110.0	7.0	4.0	Oui	Non	110	0	Non	Non	Non	ND	Vierge
2192	▷ Maison en vente • Moyeuvre-Grande • 64 m² • 81 900 €	7860750	Maison	Moyeuvre-Grande	81900.0	64.0	3.0	2.0	Non	Non	64	0	Non	Non	Non	ND	D
2193	▷ Maison en vente • Vaudreching • 80 m² • 199 000 €	7860745	Maison	Vaudreching	199000.0	80.0	4.0	3.0	Oui	Oui	80	1	Non	Non	Non	ND	D
2194	▷ Maison en vente • Faulquemont • 100 m² • 139 000 €	7860224	Maison	Faulquemont	139000.0	100.0	5.0	3.0	Non	Non	100	0	Non	Non	Non	ND	E
2195	▷ Appartement en vente • Bandol • 37 m² • 365 000 €	7860223	Appartement	Bandol	365000.0	37.0	2.0	1.0	Non	Non	37	0	Non	Non	Non	ND	B
2196	▷ Maison en vente • Génicourt • 140 m² • 313 000 €	7860222	Maison	Génicourt	313000.0	140.0	6.0	3.0	Non	Non	140	0	Non	Non	Non	ND	D
2197	▷ Maison en vente • Le Port-Marly • 138 m² • 825 000 €	7860221	Maison	Le Port-Marly	825000.0	138.0	6.0	4.0	Non	Non	138	0	Non	Non	Non	G	H
2198	▷ Immeuble de rapport en vente • Remiremont • 102 m² • 96 000 €	7860197	Immeuble	Remiremont	0.0	0.0	0.0	0.0	Non	Non	102	0	Non	Non	Non	ND	NS
2199	▷ Maison en vente • Montigny-lès-Metz • 200 m² • 440 000 €	7860189	Maison	Montigny-lès-Metz	440000.0	200.0	7.0	6.0	Oui	Oui	200	0	Non	Non	Non	ND	D
2200	▷ Maison en vente • Frouard • 135 m² • 250 000 €	7860188	Maison	Frouard	250000.0	135.0	7.0	6.0	Oui	Oui	135	0	Non	Non	Non	ND	E
2201	▷ Maison en vente • Creutzwald • 110 m² • 148 000 €	7860185	Maison	Creutzwald	148000.0	110.0	5.0	4.0	Oui	Non	110	0	Non	Non	Non	ND	E
2202	▷ Maison en vente • Creutzwald • 185 m² • 318 000 €	7860184	Maison	Creutzwald	318000.0	185.0	9.0	7.0	Non	Non	185	0	Non	Non	Non	ND	E
2203	▷ Appartement en vente • Forbach • 61 m² • 54 000 €	7860182	Appartement	Forbach	54000.0	61.0	4.0	2.0	Oui	Oui	61	0	Non	Non	Non	ND	F
2204	▷ Maison en vente • Louvigny • 103 m² • 258 000 €	7860181	Maison	Louvigny	258000.0	103.0	4.0	3.0	Non	Oui	103	0	Non	Non	Non	ND	B
2205	▷ Terrain constructible en vente • Niderhoff • 0 are • 45 000 €	7860179	Terrain	Niderhoff	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2206	▷ Terrain constructible en vente • Porcelette • 0 are • 121 000 €	7860178	Terrain	Porcelette	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2207	▷ Maison en vente • Écrouves • 120 m² • 334 000 €	7860177	Maison	Écrouves	334000.0	120.0	5.0	3.0	Oui	Oui	120	0	Non	Non	Non	ND	A
2208	▷ Maison en vente • Viviers-sur-Chiers • 220 m² • 580 000 €	7860176	Maison	Viviers-sur-Chiers	580000.0	220.0	5.0	4.0	Oui	Oui	220	0	Non	Non	Non	ND	D
2209	▷ Maison en vente • Mondorff • 115 m² • 419 000 €	7860175	Maison	Mondorff	419000.0	115.0	6.0	4.0	Oui	Oui	115	0	Non	Non	Non	ND	B
2210	▷ Maison en vente • Aboncourt • 139 m² • 299 000 €	7860173	Maison	Aboncourt	299000.0	139.0	4.0	3.0	Oui	Oui	139	0	Non	Non	Non	ND	D
2211	▷ Maison en vente • Cattenom • 156 m² • 399 000 €	7860172	Maison	Cattenom	399000.0	156.0	6.0	3.0	Oui	Non	156	0	Non	Non	Non	ND	A
2212	▷ Maison en vente • Le-Val-d'Ajol • 180 m² • 68 000 €	7860171	Maison	Le-Val-d'Ajol	68000.0	180.0	4.0	3.0	Non	Oui	180	0	Non	Non	Non	ND	Vierge
2213	▷ Appartement en vente • Forbach • 49 m² • 47 900 €	7860169	Appartement	Forbach	47900.0	49.0	3.0	1.0	Oui	Non	49	0	Non	Non	Non	ND	F
2214	▷ Maison en vente • Verdun • 142 m² • 165 000 €	7860167	Maison	Verdun	165000.0	142.0	5.0	4.0	Non	Non	142	0	Non	Non	Non	ND	E
2215	▷ Maison en vente • Lexy • 149 m² • 490 000 €	7860165	Maison	Lexy	490000.0	149.0	4.0	3.0	Non	Non	149	0	Non	Non	Non	ND	F
2216	▷ Terrain constructible en vente • Hannonville-Suzémont • 0 are • 65 000 €	7860164	Terrain	Hannonville-Suzémont	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2217	▷ Terrain constructible en vente • Hannonville-Suzémont • 0 are • 53 000 €	7860162	Terrain	Hannonville-Suzémont	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2218	▷ Maison en vente • Serémange-Erzange • 111 m² • 245 000 €	7860159	Maison	Serémange-Erzange	245000.0	111.0	5.0	4.0	Oui	Oui	111	0	Non	Non	Non	ND	E
2219	▷ Maison en vente • Valmestroff • 96 m² • 377 000 €	7860157	Maison	Valmestroff	377000.0	96.0	5.0	3.0	Oui	Oui	96	0	Non	Non	Non	ND	F
2220	▷ Maison en vente • Marly • 120 m² • 273 000 €	7860155	Maison	Marly	273000.0	120.0	5.0	4.0	Oui	Oui	120	0	Non	Non	Non	ND	E
2221	▷ Maison en vente • Téterchen • 198 m² • 499 000 €	7860137	Maison	Téterchen	499000.0	198.0	7.0	3.0	Non	Non	198	0	Non	Non	Non	ND	A
2222	▷ Immeuble de rapport en vente • Metz • 511 m² • 1 144 000 €	7860136	Immeuble	Metz	0.0	0.0	0.0	0.0	Non	Non	511	0	Non	Non	Non	ND	ND
2223	▷ Appartement en vente • Mirecourt • 96 m² • 81 750 €	7860063	Appartement	Mirecourt	81750.0	96.0	4.0	3.0	Non	Non	96	0	Non	Non	Non	ND	ND
2224	▷ Appartement en vente • Mirecourt • 96 m² • 64 500 €	7860062	Appartement	Mirecourt	64500.0	96.0	3.0	2.0	Non	Non	96	0	Non	Non	Non	ND	ND
2225	▷ Appartement en vente • Mirecourt • 91 m² • 81 750 €	7860061	Appartement	Mirecourt	81750.0	91.0	4.0	3.0	Non	Non	91	0	Non	Non	Non	ND	ND
2226	▷ Appartement en vente • Mirecourt • 123 m² • 92 650 €	7860060	Appartement	Mirecourt	92650.0	123.0	3.0	2.0	Non	Non	123	0	Non	Non	Non	ND	ND
2227	▷ Terrain constructible en vente • Bénestroff • 12,05 are • 33 000 €	7860029	Terrain	Bénestroff	0.0	0.0	0.0	0.0	Non	Non	0	0	Non	Non	Non	ND	ND
2228	▷ Appartement en vente • Metz • 101 m² • 229 000 €	7860027	Appartement	Metz	229000.0	101.0	6.0	4.0	Oui	Oui	101	1	Non	Non	Non	ND	E
2229	▷ Maison en vente • Berg-sur-Moselle • 147 m² • 445 000 €	7860026	Maison	Berg-sur-Moselle	445000.0	147.0	6.0	4.0	Oui	Oui	147	2	Non	Non	Non	ND	D
